timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-08-24T05:21:57.3651688Z,1.7666666666666666,11,8,7,3
2025-08-24T05:21:59.3584262Z,1.8333333333333333,11,7,8,3
2025-08-24T05:22:01.3682634Z,1.8666666666666667,11,7,7,3
2025-08-24T05:22:03.3621492Z,1.8333333333333333,11,8,7,3
2025-08-24T05:22:05.3695835Z,1.8666666666666667,11,7,7,3
2025-08-24T05:22:07.3667900Z,1.8333333333333333,11,7,7,3
2025-08-24T05:22:09.3659585Z,1.8,11,8,8,3
2025-08-24T05:22:11.3572143Z,1.8666666666666667,11,7,7,3
2025-08-24T05:22:13.3632933Z,1.8166666666666667,11,7,7,3
2025-08-24T05:22:15.3692922Z,1.8666666666666667,12,8,8,3
2025-08-24T05:22:17.3609769Z,1.8166666666666667,10,7,6,3
2025-08-24T05:22:19.3642663Z,1.85,12,8,6,3
2025-08-24T05:22:21.3595747Z,1.85,11,7,7,3
2025-08-24T05:22:23.3611675Z,1.8666666666666667,11,7,6,3
2025-08-24T05:22:25.3660827Z,1.8333333333333333,11,8,8,3
2025-08-24T05:22:27.3700620Z,1.8666666666666667,11,7,5,3
2025-08-24T05:22:29.3576865Z,1.8333333333333333,11,8,7,3
2025-08-24T05:22:31.3711780Z,1.8833333333333333,11,7,6,3
2025-08-24T05:22:33.3698805Z,1.8333333333333333,11,7,7,3
2025-08-24T05:22:35.3638893Z,1.8333333333333333,11,8,7,3
2025-08-24T05:22:37.3605404Z,1.95,12,8,5,3
2025-08-24T05:22:39.3696798Z,1.8166666666666667,11,7,8,3
2025-08-24T05:22:41.3723846Z,1.8833333333333333,11,7,6,3
2025-08-24T05:22:43.3632691Z,1.8,11,8,6,3
2025-08-24T05:22:45.3656428Z,1.8666666666666667,11,7,6,3
2025-08-24T05:22:47.3687016Z,1.8833333333333333,12,8,5,3
2025-08-24T05:22:49.3598252Z,1.7666666666666666,10,7,8,3
2025-08-24T05:22:51.3621216Z,1.8833333333333333,11,7,7,3
2025-08-24T05:22:53.3644804Z,1.8666666666666667,12,8,6,3
2025-08-24T05:22:55.3667564Z,1.9166666666666667,11,7,6,3
2025-08-24T05:22:57.3586458Z,1.8166666666666667,11,8,7,3
2025-08-24T05:22:59.3693930Z,1.8666666666666667,11,7,7,3
2025-08-24T05:23:01.3708659Z,1.8666666666666667,11,7,7,3
2025-08-24T05:23:03.3659929Z,1.85,12,8,6,3
2025-08-24T05:23:05.3583776Z,1.85,11,7,6,3
2025-08-24T05:23:07.3652553Z,1.8333333333333333,11,8,7,3
2025-08-24T05:23:09.3645554Z,1.8833333333333333,11,7,5,3
2025-08-24T05:23:11.3686710Z,1.85,11,8,8,3
2025-08-24T05:23:13.3685419Z,1.9166666666666667,12,7,7,4
2025-08-24T05:23:15.3678088Z,1.8333333333333333,11,8,6,2
2025-08-24T05:23:17.3672125Z,1.8666666666666667,11,7,7,4
2025-08-24T05:23:19.3575385Z,1.8333333333333333,11,7,7,3
2025-08-24T05:23:21.3684550Z,1.85,11,8,8,3
2025-08-24T05:23:23.3706525Z,1.8666666666666667,11,7,6,3
2025-08-24T05:23:25.3710129Z,1.8333333333333333,11,8,6,2
2025-08-24T05:23:27.3588495Z,1.7833333333333334,11,7,8,3
2025-08-24T05:23:29.3634999Z,1.85,11,7,6,3
2025-08-24T05:23:31.3670909Z,1.8666666666666667,11,8,5,3
2025-08-24T05:23:33.3640275Z,1.7666666666666666,11,7,7,3
2025-08-24T05:23:35.3688259Z,1.8833333333333333,11,7,5,3
2025-08-24T05:23:37.3709472Z,1.85,11,8,7,3
2025-08-24T05:23:39.3631460Z,1.8333333333333333,11,7,7,3
2025-08-24T05:23:41.3698712Z,1.8666666666666667,11,7,7,3
2025-08-24T05:23:43.3648305Z,1.8,11,8,7,3
2025-08-24T05:23:45.3708234Z,1.85,11,7,6,3
2025-08-24T05:23:47.3610382Z,1.8833333333333333,11,7,5,3
2025-08-24T05:23:49.3728567Z,1.9,12,8,6,3
2025-08-24T05:23:51.3698668Z,1.8666666666666667,11,8,6,3
2025-08-24T05:23:53.3606313Z,1.8833333333333333,11,7,6,3
2025-08-24T05:23:55.3655161Z,1.85,11,7,7,3
2025-08-24T05:23:57.3700329Z,1.8666666666666667,12,8,6,4
2025-08-24T05:23:59.3585294Z,1.85,11,7,5,3
2025-08-24T05:24:01.3638090Z,1.8,11,8,8,2
2025-08-24T05:24:03.3656823Z,1.8666666666666667,11,7,7,3
2025-08-24T05:24:05.3727483Z,1.8833333333333333,11,8,7,3
2025-08-24T05:24:07.3640340Z,1.9,11,7,8,4
2025-08-24T05:24:09.3664283Z,1.8833333333333333,12,8,7,3
2025-08-24T05:24:11.3586230Z,1.85,11,7,6,3
2025-08-24T05:24:13.3713993Z,1.8833333333333333,11,8,7,3
